rank,source,enemy_id,tempno,name,total140,avg_score,avg_net,vs_earth_score,vs_earth_net,vs_water_score,vs_water_net,vs_fire_score,vs_fire_net,vs_wind_score,vs_wind_net,script,floor,floors
25,capture_lv1,,176,哈沃恩,2582,3044,1.1787600061576355,2361,0.9142857142857144,5850,2.2656250000000004,2824,1.09375,1140,0.4413793103448275,,,7025
26,capture_lv1,,261,玛恩摩,2582,3044,1.1787600061576355,2361,0.9142857142857144,5850,2.2656250000000004,2824,1.09375,1140,0.4413793103448275,,,31904
27,capture_lv1,,1084,奥特普,2582,3044,1.1787600061576355,2361,0.9142857142857144,5850,2.2656250000000004,2824,1.09375,1140,0.4413793103448275,,,817
28,capture_lv1,,149,弗丽露,2581,3042,1.1787600061576358,2823,1.09375,1139,0.4413793103448275,2360,0.9142857142857144,5848,2.2656250000000004,,,7025
29,capture_lv1,,820,辛普洛斯,2579,3040,1.1787600061576355,1138,0.4413793103448275,2821,1.09375,5843,2.2656250000000004,2358,0.9142857142857144,,,500
30,capture_lv1,,129,贝路卡,2654,3036,1.1441384063506828,1289,0.4857142857142857,2220,0.8363636363636363,5464,2.058823529411765,3173,1.1956521739130435,,,7025
31,capture_lv1,,37,史卡皮奥,2574,3034,1.1787600061576358,2815,1.09375,1136,0.4413793103448275,2353,0.9142857142857144,5832,2.2656250000000004,,,7025
32,capture_lv1,,1083,塔克,2571,3031,1.1787600061576358,2812,1.09375,1135,0.4413793103448275,2351,0.9142857142857144,5825,2.2656250000000004,,,8014
33,capture_lv1,,119,鲁贝莱欧,2646,3028,1.1441384063506828,3164,1.1956521739130435,1285,0.4857142857142857,2213,0.8363636363636363,5448,2.058823529411765,,,7025
34,capture_lv1,,1110,史卡鲁,2472,3028,1.225,989,0.39999999999999997,2472,1.0,6180,2.5,2472,1.0,,,817
35,task_getpet,2420,136,葛利斯奈,2559,3016,1.1787600061576358,2799,1.09375,1129,0.4413793103448275,2340,0.9142857142857144,5798,2.2656250000000004,genout/msg_116_37_20,116,116
36,capture_lv1,,802,摩酷罗,2727,3003,1.10125,1745,0.64,4261,1.5625,4261,1.5625,1745,0.64,,,7025
37,capture_lv1,,1113,特雷克洛,2624,3002,1.1441384063506828,2195,0.8363636363636363,1275,0.4857142857142857,3137,1.1956521739130435,5402,2.058823529411765,,,7025
38,capture_lv1,,35,史卡皮诺,2545,3000,1.1787600061576355,2327,0.9142857142857144,5766,2.2656250000000004,2784,1.09375,1123,0.4413793103448275,,,7025
39,capture_lv1,,1119,艾尔摩米,2545,3000,1.1787600061576355,5766,2.2656250000000004,2327,0.9142857142857144,1123,0.4413793103448275,2784,1.09375,,,7025
40,capture_lv1,,80,克雷多,2621,2999,1.1441384063506828,2192,0.8363636363636363,1273,0.4857142857142857,3134,1.1956521739130435,5396,2.058823529411765,,,7025|30008
41,capture_lv1,,1070,雷比特,2665,2985,1.120092226613966,3483,1.3068181818181819,1421,0.5333333333333333,2039,0.7652173913043477,4997,1.875,,,7025
42,task_getpet,2515,1164,哈利恩斯,2436,2984,1.225,6090,2.5,2436,1.0,974,0.39999999999999997,2436,1.0,sa75/ler/ler8.arg,,
43,capture_lv1,,1091,柏洛德,2604,2979,1.1441384063506825,3113,1.1956521739130435,5361,2.058823529411765,2178,0.8363636363636363,1265,0.4857142857142857,,,7025
44,capture_lv1,,982,雷恩巴肯,2525,2976,1.1787600061576355,1114,0.4413793103448275,2309,0.9142857142857144,5721,2.2656250000000004,2762,1.09375,,,7025
45,task_getpet,1976,982,雷恩巴肯,2525,2976,1.1787600061576355,1114,0.4413793103448275,2309,0.9142857142857144,5721,2.2656250000000004,2762,1.09375,genout/msg_116_37_20,116,116
46,capture_lv1,,177,哈沃斯,2524,2975,1.1787600061576358,2761,1.09375,1114,0.4413793103448275,2308,0.9142857142857144,5718,2.2656250000000004,,,7025
47,capture_lv1,,812,斑尼迪克,2521,2972,1.1787600061576355,5712,2.2656250000000004,2305,0.9142857142857144,1113,0.4413793103448275,2757,1.09375,,,60054
48,task_getpet,1645,812,斑尼迪克,2521,2972,1.1787600061576355,5712,2.2656250000000004,2305,0.9142857142857144,1113,0.4413793103448275,2757,1.09375,genout/msg_116_37_20,116,116
49,task_getpet,2570,1185,布林特,2596,2970,1.1441384063506828,2171,0.8363636363636363,5345,2.058823529411765,3104,1.1956521739130435,1261,0.4857142857142857,jaruga/event/oev_edb,3000,3000
50,capture_lv1,,1095,罗多克雷,2579,2951,1.1441384063506825,3084,1.1956521739130435,5310,2.058823529411765,2157,0.8363636363636363,1253,0.4857142857142857,,,817
51,capture_lv1,,89,培罗多,2578,2950,1.1441384063506825,3082,1.1956521739130435,5308,2.058823529411765,2156,0.8363636363636363,1252,0.4857142857142857,,,7025|21007
52,task_getpet,1845,918,凯恩,2389,2926,1.225,5972,2.5,2389,1.0,956,0.39999999999999997,2389,1.0,genout/msg_116_37_20,116,116
53,capture_lv1,,767,梅尔顿,2387,2924,1.225,2387,1.0,5968,2.5,2387,1.0,955,0.39999999999999997,,,7025
54,capture_lv1,,1147,黑乌力王,2550,2918,1.1441384063506828,3049,1.1956521739130435,1239,0.4857142857142857,2133,0.8363636363636363,5250,2.058823529411765,,,7025
55,task_getpet,2546,203,帖伊诺斯,2643,2911,1.10125,4130,1.5625,1692,0.64,1692,0.64,4130,1.5625,genout/msg_116_37_20,116,116
56,capture_lv1,,127,多瑞里,2539,2905,1.1441384063506828,1233,0.4857142857142857,2124,0.8363636363636363,5227,2.058823529411765,3036,1.1956521739130435,,,817
57,capture_lv1,,263,玛摩那斯,2593,2904,1.1200922266139657,1984,0.7652173913043477,4862,1.875,3389,1.3068181818181819,1383,0.5333333333333333,,,300
58,capture_lv1,,1116,塔斯摩米,2458,2897,1.1787600061576355,2247,0.9142857142857144,5569,2.2656250000000004,2688,1.09375,1085,0.4413793103448275,,,7025
59,capture_lv1,,768,戈登尔顿,2528,2892,1.1441384063506828,5205,2.058823529411765,2114,0.8363636363636363,1228,0.4857142857142857,3023,1.1956521739130435,,,7025|11210
60,capture_lv1,,242,姆伊,2360,2891,1.225,944,0.39999999999999997,2360,1.0,5900,2.5,2360,1.0,,,31401
61,capture_lv1,,262,恩摩摩,2527,2891,1.1441384063506828,2113,0.8363636363636363,1227,0.4857142857142857,3021,1.1956521739130435,5203,2.058823529411765,,,31906
62,task_getpet,327,242,姆伊,2360,2891,1.225,944,0.39999999999999997,2360,1.0,5900,2.5,2360,1.0,sainasu/event/rion,100,100
63,task_getpet,2057,1047,洛奇斯德,2360,2891,1.225,944,0.39999999999999997,2360,1.0,5900,2.5,2360,1.0,genout/msg_116_37_20,116,116
64,capture_lv1,,1092,特雷沙,2517,2880,1.1441384063506825,1223,0.4857142857142857,3009,1.1956521739130435,5182,2.058823529411765,2105,0.8363636363636363,,,817
65,task_getpet,2573,208,邦浦洛斯,2613,2878,1.10125,4083,1.5625,1672,0.64,1672,0.64,4083,1.5625,genout/msg_116_37_20,116,116
66,capture_lv1,,1100,华可洛,2514,2876,1.1441384063506828,5176,2.058823529411765,2103,0.8363636363636363,1221,0.4857142857142857,3006,1.1956521739130435,,,7025
67,capture_lv1,,983,法亚巴肯,2438,2874,1.1787600061576358,2667,1.09375,1076,0.4413793103448275,2229,0.9142857142857144,5524,2.2656250000000004,,,7025
68,task_getpet,1977,983,法亚巴肯,2438,2874,1.1787600061576358,2667,1.09375,1076,0.4413793103448275,2229,0.9142857142857144,5524,2.2656250000000004,genout/msg_116_37_20,116,116
69,capture_lv1,,133,史克杰,2510,2872,1.1441384063506828,2099,0.8363636363636363,5168,2.058823529411765,3001,1.1956521739130435,1219,0.4857142857142857,,,817|7025
70,task_getpet,2571,1186,奈坎特,2597,2872,1.1059282822440717,1818,0.7000000000000001,1518,0.5846153846153846,3710,1.4285714285714284,4442,1.7105263157894737,race/mke.arg,,
71,capture_lv1,,125,斯达克,2600,2863,1.10125,1664,0.64,4062,1.5625,4062,1.5625,1664,0.64,,,817|7025
72,capture_lv1,,981,格林巴肯,2423,2856,1.1787600061576355,2215,0.9142857142857144,5490,2.2656250000000004,2650,1.09375,1069,0.4413793103448275,,,7025
73,capture_lv1,,1053,帖尼贝,2546,2852,1.1200922266139657,1358,0.5333333333333333,3327,1.3068181818181819,4774,1.875,1948,0.7652173913043477,,,7025
74,capture_lv1,,122,呼萨瑞,2491,2850,1.1441384063506825,1210,0.4857142857142857,2978,1.1956521739130435,5129,2.058823529411765,2083,0.8363636363636363,,,8009
75,capture_lv1,,1067,奇格拉,2539,2844,1.120092226613966,3318,1.3068181818181819,1354,0.5333333333333333,1943,0.7652173913043477,4761,1.875,,,817
76,task_getpet,1562,729,布依布依,2539,2844,1.1200922266139657,1354,0.5333333333333333,1943,0.7652173913043477,4761,1.875,3318,1.3068181818181819,sa50/eot/oev_edf,7200,7200
77,capture_lv1,,984,奇欧巴肯,2409,2840,1.1787600061576355,5458,2.2656250000000004,2635,1.09375,1063,0.4413793103448275,2203,0.9142857142857144,,,7025
78,task_getpet,1610,777,佩露夏,2318,2840,1.225,927,0.39999999999999997,2318,1.0,5795,2.5,2318,1.0,genout/msg_2006_23_14,2006,2006
79,capture_lv1,,728,布依布鲁,2525,2828,1.1200922266139657,1347,0.5333333333333333,3300,1.3068181818181819,4734,1.875,1932,0.7652173913043477,,,100
80,capture_lv1,,1079,康尔特,2396,2824,1.1787600061576355,1058,0.4413793103448275,2621,1.09375,5428,2.2656250000000004,2191,0.9142857142857144,,,817
81,capture_lv1,,1089,史比特,2518,2820,1.1200922266139657,1927,0.7652173913043477,4721,1.875,3291,1.3068181818181819,1343,0.5333333333333333,,,7025
82,capture_lv1,,1088,沙列克,2463,2818,1.1441384063506828,1196,0.4857142857142857,2060,0.8363636363636363,5071,2.058823529411765,2945,1.1956521739130435,,,7025
83,capture_lv1,,121,艾柏瑞,2462,2817,1.1441384063506828,5069,2.058823529411765,2059,0.8363636363636363,1196,0.4857142857142857,2944,1.1956521739130435,,,8000
84,capture_lv1,,787,梅鲁莎,2462,2817,1.1441384063506828,5069,2.058823529411765,2059,0.8363636363636363,1196,0.4857142857142857,2944,1.1956521739130435,,,31301
85,capture_lv1,,126,西斯达,2557,2816,1.10125,3995,1.5625,1636,0.64,1636,0.64,3995,1.5625,,,817|7025
86,capture_lv1,,1068,多格斯,2512,2814,1.1200922266139657,1922,0.7652173913043477,4710,1.875,3283,1.3068181818181819,1340,0.5333333333333333,,,8009
87,capture_lv1,,798,蒙哥拉斯,2550,2808,1.10125,3984,1.5625,3984,1.5625,1632,0.64,1632,0.64,,,7402
88,capture_lv1,,1065,卡伯,2539,2808,1.1059282822440717,1777,0.7000000000000001,4343,1.7105263157894737,3627,1.4285714285714284,1484,0.5846153846153846,,,817
89,capture_lv1,,128,贝瑞里,2453,2806,1.1441384063506825,2933,1.1956521739130435,5050,2.058823529411765,2052,0.8363636363636363,1191,0.4857142857142857,,,817
90,capture_lv1,,1090,艾斯坦,2546,2804,1.10125,1629,0.64,1629,0.64,3978,1.5625,3978,1.5625,,,7025
91,capture_lv1,,1074,特利斯克,2450,2803,1.1441384063506828,1190,0.4857142857142857,2049,0.8363636363636363,5044,2.058823529411765,2929,1.1956521739130435,,,817
92,capture_lv1,,1081,那尔斯,2377,2802,1.1787600061576355,2600,1.09375,5385,2.2656250000000004,2173,0.9142857142857144,1049,0.4413793103448275,,,817
93,capture_lv1,,322,萨美洛斯,2285,2799,1.225,914,0.39999999999999997,2285,1.0,5712,2.5,2285,1.0,,,7025
94,task_getpet,2569,1184,菲尔特,2439,2790,1.1441384063506828,2916,1.1956521739130435,1185,0.4857142857142857,2040,0.8363636363636363,5021,2.058823529411765,jaruga/event/oev_edb,3000,3000
95,capture_lv1,,1073,西柏克,2437,2788,1.1441384063506825,1184,0.4857142857142857,2914,1.1956521739130435,5017,2.058823529411765,2038,0.8363636363636363,,,817|7025
96,capture_lv1,,41,贝洛恩,2274,2786,1.225,910,0.39999999999999997,2274,1.0,5685,2.5,2274,1.0,,,9000|10101
97,capture_lv1,,790,艾尔蛙,2435,2786,1.1441384063506825,5013,2.058823529411765,2911,1.1956521739130435,1183,0.4857142857142857,2037,0.8363636363636363,,,701
98,capture_lv1,,1087,沙瓦克,2435,2786,1.1441384063506825,1183,0.4857142857142857,2911,1.1956521739130435,5013,2.058823529411765,2037,0.8363636363636363,,,817
99,capture_lv1,,770,瑞德宝,2273,2784,1.225,2273,1.0,909,0.39999999999999997,2273,1.0,5682,2.5,,,707|7025
100,capture_lv1,,251,布洛多斯,2360,2782,1.1787600061576355,2158,0.9142857142857144,5347,2.2656250000000004,2581,1.09375,1042,0.4413793103448275,,,5507
101,task_getpet,1621,788,尤里蛙,2482,2780,1.1200922266139657,1899,0.7652173913043477,4654,1.875,3244,1.3068181818181819,1324,0.5333333333333333,eden2/kraken/kraken88_03,60213,60213
102,capture_lv1,,13,布伊,2511,2777,1.1059282822440717,1758,0.7000000000000001,4295,1.7105263157894737,3587,1.4285714285714284,1468,0.5846153846153846,,,100|9000
103,task_getpet,15,13,布伊,2511,2777,1.1059282822440717,1758,0.7000000000000001,4295,1.7105263157894737,3587,1.4285714285714284,1468,0.5846153846153846,scipt_plus/fishlevelup/npc_at_100,100,100
104,task_getpet,17,15,卡布伊,2266,2776,1.225,2266,1.0,5665,2.5,2266,1.0,906,0.39999999999999997,jaruga/event/oev_ed1,4000,4000
105,capture_lv1,,264,玛恩摩洛斯,2517,2772,1.10125,1611,0.64,1611,0.64,3933,1.5625,3933,1.5625,,,300|9000
106,capture_lv1,,1109,史卡特,2418,2766,1.1441384063506825,2891,1.1956521739130435,4978,2.058823529411765,2022,0.8363636363636363,1174,0.4857142857142857,,,817
107,capture_lv1,,1118,洛德摩米,2344,2763,1.1787600061576358,2564,1.09375,1035,0.4413793103448275,2143,0.9142857142857144,5311,2.2656250000000004,,,7025
108,task_getpet,1818,914,古瓜,2255,2762,1.225,2255,1.0,5638,2.5,2255,1.0,902,0.39999999999999997,eden2/fight/fight-muruei,850,850
109,capture_lv1,,223,加格,2254,2761,1.225,902,0.39999999999999997,2254,1.0,5635,2.5,2254,1.0,,,9000|10203
110,capture_lv1,,766,格尔希洛,2409,2756,1.1441384063506828,1170,0.4857142857142857,2015,0.8363636363636363,4960,2.058823529411765,2880,1.1956521739130435,,,31203
111,capture_lv1,,1054,帖尼恩,2458,2753,1.1200922266139657,1881,0.7652173913043477,1311,0.5333333333333333,3212,1.3068181818181819,4609,1.875,,,7025
112,task_getpet,1795,902,葛雷洛比,2404,2750,1.1441384063506828,1168,0.4857142857142857,2011,0.8363636363636363,4949,2.058823529411765,2874,1.1956521739130435,sainasu/event/oev_edd,2000,2000
113,capture_lv1,,743,蓝龟,2242,2746,1.225,897,0.39999999999999997,2242,1.0,5605,2.5,2242,1.0,,,60009
114,task_getpet,1577,743,蓝龟,2242,2746,1.225,897,0.39999999999999997,2242,1.0,5605,2.5,2242,1.0,sainasu/event/oev_edc,1000,1000
115,capture_lv1,,11,布比,2398,2744,1.1441384063506828,2006,0.8363636363636363,4937,2.058823529411765,2867,1.1956521739130435,1165,0.4857142857142857,,,100
116,task_getpet,13,11,布比,2398,2744,1.1441384063506828,2006,0.8363636363636363,4937,2.058823529411765,2867,1.1956521739130435,1165,0.4857142857142857,jaruga/event/oev_ed1,4000,4000
117,capture_lv1,,815,布莱兹,2448,2742,1.1200922266139657,1306,0.5333333333333333,3199,1.3068181818181819,4590,1.875,1873,0.7652173913043477,,,5540
118,capture_lv1,,134,史菲洛,2394,2739,1.1441384063506828,2862,1.1956521739130435,1163,0.4857142857142857,2002,0.8363636363636363,4929,2.058823529411765,,,817|7025
119,capture_lv1,,1052,帖尼布,2444,2737,1.1200922266139657,3194,1.3068181818181819,4582,1.875,1870,0.7652173913043477,1303,0.5333333333333333,,,7025
120,capture_lv1,,1055,帖尼斯,2444,2737,1.1200922266139657,4582,1.875,1870,0.7652173913043477,1303,0.5333333333333333,3194,1.3068181818181819,,,7025
121,capture_lv1,,819,朱利洛斯,2439,2732,1.1200922266139657,1866,0.7652173913043477,4573,1.875,3187,1.3068181818181819,1301,0.5333333333333333,,,704
122,capture_lv1,,1105,夏普德,2467,2728,1.1059282822440717,3524,1.4285714285714284,1442,0.5846153846153846,1727,0.7000000000000001,4220,1.7105263157894737,,,817
123,capture_lv1,,255,邦恩多斯,2383,2726,1.1441384063506828,4906,2.058823529411765,1993,0.8363636363636363,1157,0.4857142857142857,2849,1.1956521739130435,,,500
124,task_getpet,483,255,邦恩多斯,2383,2726,1.1441384063506828,4906,2.058823529411765,1993,0.8363636363636363,1157,0.4857142857142857,2849,1.1956521739130435,chatroom/luck,,
125,task_getpet,1797,904,葛雷马恩,2375,2718,1.1441384063506828,4890,2.058823529411765,1986,0.8363636363636363,1154,0.4857142857142857,2840,1.1956521739130435,sainasu/event/oev_edd,2000,2000
126,capture_lv1,,1066,卡特,2457,2717,1.1059282822440717,3510,1.4285714285714284,1436,0.5846153846153846,1720,0.7000000000000001,4203,1.7105263157894737,,,8000
127,task_getpet,1796,903,葛雷吉鲁,2374,2716,1.1441384063506828,2838,1.1956521739130435,1153,0.4857142857142857,1986,0.8363636363636363,4888,2.058823529411765,sainasu/event/oev_edd,2000,2000
128,capture_lv1,,81,卡达鲁卡斯,2216,2714,1.225,2216,1.0,5540,2.5,2216,1.0,886,0.39999999999999997,,,9000|10601
129,capture_lv1,,1097,伊古雷,2423,2714,1.1200922266139657,1292,0.5333333333333333,1854,0.7652173913043477,4543,1.875,3166,1.3068181818181819,,,7025
130,capture_lv1,,1080,伯洛西,2371,2713,1.1441384063506828,1983,0.8363636363636363,1152,0.4857142857142857,2835,1.1956521739130435,4881,2.058823529411765,,,817
131,capture_lv1,,160,伦迪,2370,2712,1.1441384063506828,4879,2.058823529411765,1982,0.8363636363636363,1151,0.4857142857142857,2834,1.1956521739130435,,,7025
132,capture_lv1,,1098,伊克多,2452,2712,1.1059282822440717,1716,0.7000000000000001,4194,1.7105263157894737,3503,1.4285714285714284,1433,0.5846153846153846,,,817
133,capture_lv1,,755,杨格斯,2365,2706,1.1441384063506828,2828,1.1956521739130435,1149,0.4857142857142857,1978,0.8363636363636363,4869,2.058823529411765,,,60341
134,capture_lv1,,806,迪布恩,2296,2706,1.1787600061576355,1013,0.4413793103448275,2511,1.09375,5202,2.2656250000000004,2099,0.9142857142857144,,,30701
135,task_getpet,1660,755,杨格斯,2365,2706,1.1441384063506828,2828,1.1956521739130435,1149,0.4857142857142857,1978,0.8363636363636363,4869,2.058823529411765,genout/msg_116_37_20,116,116
136,task_getpet,1794,901,葛雷基欧,2359,2699,1.1441384063506825,2821,1.1956521739130435,4857,2.058823529411765,1973,0.8363636363636363,1146,0.4857142857142857,sainasu/event/oev_edd,2000,2000
137,task_getpet,1563,730,布依胖,2439,2697,1.1059282822440717,3484,1.4285714285714284,1426,0.5846153846153846,1707,0.7000000000000001,4172,1.7105263157894737,eden1/zoo1/manager82_01,7001,7001
138,task_getpet,1617,784,迪加,2357,2697,1.1441384063506828,1145,0.4857142857142857,1971,0.8363636363636363,4853,2.058823529411765,2818,1.1956521739130435,sa50/eot/oev_ede,7200,7200
139,capture_lv1,,979,朵巴奈特,2437,2695,1.1059282822440717,4169,1.7105263157894737,1706,0.7000000000000001,1425,0.5846153846153846,3481,1.4285714285714284,,,7025
140,task_getpet,1644,811,朵巴奈特,2437,2695,1.1059282822440717,4169,1.7105263157894737,1706,0.7000000000000001,1425,0.5846153846153846,3481,1.4285714285714284,genout/msg_116_37_20,116,116
141,task_getpet,2212,1133,波比,2353,2692,1.1441384063506828,4844,2.058823529411765,1968,0.8363636363636363,1143,0.4857142857142857,2813,1.1956521739130435,jaruga/event/oev_ed1,4000,4000
142,capture_lv1,,214,多洛布斯,2197,2691,1.225,2197,1.0,5492,2.5,2197,1.0,879,0.39999999999999997,,,7025
143,capture_lv1,,796,嘎吱拉,2442,2690,1.10125,1563,0.64,3816,1.5625,3816,1.5625,1563,0.64,,,60052
144,task_getpet,1592,759,里拉拉,2196,2690,1.225,878,0.39999999999999997,2196,1.0,5490,2.5,2196,1.0,sainasu/event/oev_edc,1000,1000
145,capture_lv1,,141,格尔顿,2195,2689,1.225,2195,1.0,5488,2.5,2195,1.0,878,0.39999999999999997,,,300
146,capture_lv1,,241,邦奇,2349,2688,1.1441384063506828,1141,0.4857142857142857,1965,0.8363636363636363,4836,2.058823529411765,2809,1.1956521739130435,,,21308
147,capture_lv1,,274,朵拉比斯,2194,2688,1.225,5485,2.5,2194,1.0,878,0.39999999999999997,2194,1.0,,,9000
148,task_getpet,341,274,朵拉比斯,2194,2688,1.225,5485,2.5,2194,1.0,878,0.39999999999999997,2194,1.0,seimu/event/event02_1,100,100
149,task_getpet,333,254,斯天多斯,2440,2687,1.10125,1562,0.64,3812,1.5625,3812,1.5625,1562,0.64,poru/team03,5535,5535
150,capture_lv1,,789,裘里蛙,2439,2686,1.10125,3811,1.5625,3811,1.5625,1561,0.64,1561,0.64,,,701
151,capture_lv1,,243,海主人,2346,2684,1.1441384063506825,1139,0.4857142857142857,2805,1.1956521739130435,4830,2.058823529411765,1962,0.8363636363636363,,,200
152,task_getpet,1625,792,欧瑟菲,2346,2684,1.1441384063506825,2805,1.1956521739130435,4830,2.058823529411765,1962,0.8363636363636363,1139,0.4857142857142857,sa50/eot/oev_ede,7200,7200
153,capture_lv1,,94,邦奇诺,2189,2682,1.225,2189,1.0,876,0.39999999999999997,2189,1.0,5472,2.5,,,300
154,task_getpet,57,94,邦奇诺,2189,2682,1.225,2189,1.0,876,0.39999999999999997,2189,1.0,5472,2.5,giiru/event/ev28_ed2,31706,31706
155,capture_lv1,,804,克洛恩,2434,2680,1.10125,1558,0.64,3803,1.5625,3803,1.5625,1558,0.64,,,60065
156,capture_lv1,,252,布林帖斯,2391,2678,1.1200922266139657,1275,0.5333333333333333,3125,1.3068181818181819,4483,1.875,1830,0.7652173913043477,,,32018
157,capture_lv1,,253,布拉奇多斯,2341,2678,1.1441384063506828,1958,0.8363636363636363,1137,0.4857142857142857,2799,1.1956521739130435,4820,2.058823529411765,,,400|9000
158,capture_lv1,,905,雷尔胖,2414,2670,1.1059282822440717,3449,1.4285714285714284,1411,0.5846153846153846,1690,0.7000000000000001,4129,1.7105263157894737,,,7000
159,task_getpet,2670,1280,家养的洛奇斯德,2180,2670,1.225,872,0.39999999999999997,2180,1.0,5450,2.5,2180,1.0,scipt_plus/fishshuimo/npc_at_7k,,
160,capture_lv1,,71,拉奇鲁哥,2173,2662,1.225,2173,1.0,869,0.39999999999999997,2173,1.0,5432,2.5,,,300
161,task_getpet,1816,913,古瓜,2172,2661,1.225,2172,1.0,5430,2.5,2172,1.0,869,0.39999999999999997,eden2/fight/fight-hans,7129,7129
162,capture_lv1,,74,鲁尼帖斯,2171,2660,1.225,2171,1.0,5428,2.5,2171,1.0,868,0.39999999999999997,,,100|9000
163,capture_lv1,,312,摩娜西普,2171,2660,1.225,5428,2.5,2171,1.0,868,0.39999999999999997,2171,1.0,,,9000
164,task_getpet,49,74,鲁尼帖斯,2171,2660,1.225,2171,1.0,5428,2.5,2171,1.0,868,0.39999999999999997,sainasu/event/rion,100,100
165,task_getpet,355,312,摩娜西普,2171,2660,1.225,5428,2.5,2171,1.0,868,0.39999999999999997,2171,1.0,giiru/event/event30_5,,
166,capture_lv1,,765,司尔顿,2373,2658,1.1200922266139657,1816,0.7652173913043477,4449,1.875,3101,1.3068181818181819,1266,0.5333333333333333,,,7352
167,task_getpet,1946,968,艾迪希洛,2411,2655,1.10125,1543,0.64,3767,1.5625,3767,1.5625,1543,0.64,jaruga/event/oev_ed1,4000,4000
